1-Methyl Adenosine	1-Methyladenosine	3012420	2968448	2903435	3068587	3260243	2518544	2221611	2665706	3035494	3102315	2914683	2277373	2513722	3003254	2875159	2783984	2665824	2997053	2813469	3169381	2612209	3332368	2185665	2528247	2601562	3564465	3146032	2928988	3327754	2599984	2236652	2823747	2707242	3176747	2956214	2838655	3704398	2368760	2632597	2678453	3194533	2904898	2584609	3143667	2919515	3016771	2410900	3214454	2648506	2948703	2892780	3259494	2986096	2781504	3549603	3427296	3435648	3060545	2391741	2406071	3211715	3537641	3211560	2600796	2760773	2311562	3205807	3483270	2514160	2929541	3445948	2735784	3145588	2901191	2934845	3059667	2313400	3434799	2931076	3492614	2960553	2520178	2804338	3292944	3583893	2522507	3584322	2543729	2997255	2727615	2613172	3354362	2995827	3175951
N-Acetyl-ornithine	N-Acetylornithine	212042	212582	198262	170031	191557	165700	123953	130874	188764	163719	202582	140716	173920	203671	174742	208071	199197	230104	161111	187742	174854	251906	162330	250128	213860	243673	179673	171621	211300	128537	115566	248763	235810	296876	237768	244797	325018	237584	200492	217413	352902	312347	249648	334357	282362	302670	215404	271120	238459	319294	203654	306131	287366	310427	316053	258028	313404	294814	198855	218616	259487	331705	162630	176492	172395	566292	907274	268839	421388	335639	287669	227715	271164	204769	281277	252808	205788	264562	310320	497511	294213	216216	247350	205415	387602	243219	236277	166120	204447	174115	176237	267027	236012	212131
Nicotine amide	Niacinamide	536304053	514707022	498980093	520181088	581487311	472890053	482929497	489547982	492343568	489530207	568781475	409791117	437513852	548851091	514445507	518663317	491833814	573460117	522110682	534403621	427417380	589085695	458720028	537968533	491564752	607660676	507285994	496054878	577318977	486948376	411805198	598344699	579040515	536196736	548448281	582934069	625223927	521297451	486940094	455906976	564689131	504026014	468149548	516607852	530599900	513455929	412189023	545708007	447258774	446360074	502529656	507756536	484317018	531853592	560459724	551040896	605836155	544989332	456046769	546637568	616265452	614902523	514140394	519033666	545785876	432872099	559858169	545316243	437390012	504634917	584242009	501933889	593149154	442488627	509486665	604986415	467958010	581766489	328774991	571571298	490721981	406148797	505649852	514587250	681124245	526806198	635024073	470693011	588806394	574091778	516001789	537584812	475280723	592857339
O-Phosphorylethanolamine	Phosphoethanolamine	2885891	2408599	2786552	2591476	3070811	3463618	2715435	2816812	2451650	2831527	3452982	2233357	1784999	2607507	3166959	2625553	2969816	3352343	2771789	2647458	2115292	2855702	2041160	3547884	3121640	3298126	3353858	2637142	3058809	2438231	2140450	4248066	3877718	2219191	3069050	3940522	3120106	2702396	2511489	2327984	2431804	2944262	2119523	2728165	3081098	2969280	2402408	3003273	2889239	2576772	2542909	2847732	2858560	3208286	2103087	2236057	3199895	2899176	2483623	3728108	3965452	3008571	2683171	3545361	3372824	1978264	3245632	1825253	2559685	2931074	2819333	3278451	3754353	1724110	2638895	3567959	2582313	1958475	2079365	3648142	2968824	1623593	2358686	2976687	4812885	3344617	3204428	2182085	3656121	3805872	2625125	3421704	2262302	3788197
Ornithine	Ornithine	261684	276134	293213	282094	301702	157778	117422	176948	278952	270116	208061	192540	261993	316124	230874	236793	256730	254629	204929	257914	213406	283652	245193	305352	265980	239353	226914	202987	317050	253319	196444	238765	224060	277381	186294	182712	333401	199416	147242	190617	251590	271483	315880	315614	338664	257120	171680	363891	248675	295141	268227	256845	331934	385417	360368	271097	270905	276206	213741	161602	176337	276006	186314	175363	200876	302877	342890	472547	274199	360029	359611	143324	178021	274390	282533	182991	164996	335574	433096	493754	411579	297088	383150	272978	258919	187993	373776	178050	194471	189962	345632	566033	464743	334091
Pantothenic acid	Pantothenic acid	4757454	4482749	4106433	4076826	4841108	5724114	3990266	3908617	3510697	3457115	4725838	2711379	3423608	4439611	3971346	4072338	3939843	4122228	3538069	3920552	3137096	4457937	3165683	4896066	3755435	4861879	3914681	4648183	4487087	3686263	3001388	4304391	4829126	4119690	3839362	4548379	5195493	5658677	3520553	3028785	5146531	4169914	3673639	3974410	4608117	3950553	4483173	4033677	4204747	3430287	3740391	4410064	3713181	4213317	4178183	3915689	4918077	4199378	3806153	4358729	4760879	4703119	3424841	4113373	4119262	4183717	5252205	5695040	4736869	5195453	5334004	3830560	4552067	3233549	3778814	4672810	3471161	5220232	4612501	5783033	4462758	3667956	4693951	4255581	6918415	4538040	6228695	3811936	4881487	4859437	4317680	4257043	4060735	3999315
Phenylalanine	Phenylalanine	18205608	21645861	23140912	21923962	21174611	17396895	13548755	13601973	20841759	17315842	15556765	11246058	17118783	23969158	14687874	15802160	17138117	17976149	13580654	14727800	10402761	19445594	11861561	20264173	20091795	17364316	15187401	16018690	21450432	13686994	10453711	19264179	18164784	24153661	14501719	17311789	25951489	21764900	11572981	11911881	19118623	21825518	22248077	23753332	22982413	18765945	17301004	22027952	20247561	20391091	14814065	19657359	22024143	23703838	25599010	19631327	20524687	22585707	12926684	11396731	12821193	21081298	14390482	12701510	15711301	23790452	23859396	38142770	23797301	31361402	35572211	11410045	13614111	19601356	21601541	14240581	10411348	26826819	25292017	32603874	27340768	20354896	23697536	17368066	19881631	13076195	29689565	12247105	14162726	11752524	22977595	36400456	28623127	21467433
Phosphocholine	Choline phosphate	1080058052	1073392844	1239017885	1147476025	1245024220	1067210808	822880163	852633060	1101435402	1080257805	900576728	784898063	1067732844	1256199538	1129848501	1155399858	1236050946	1228473095	898095077	831795166	1125018766	1370881432	623875131	1330631718	1322572227	949967568	1084003963	1026956521	1375864134	852888845	726862990	908981976	882594828	1198872507	861652524	925021636	1322136404	906208605	758481337	762617571	638723603	1249328019	1022796001	1196529216	1182157728	846711802	841025027	1212113699	1270563623	911484000	704109801	891806503	1216098228	1228609896	1346797237	1135618655	1399964344	1338559084	799419502	804588720	930695588	1248447045	1089010157	805988925	877157940	719381549	1415440137	1101411897	1313553743	1534673743	1355699874	816291743	821352286	992023352	1315279301	889061579	833725590	1003649280	1066554819	1254987356	1244395983	888968040	1225869858	959697111	871667178	805029856	1493085684	880325590	793778812	689572578	1182593406	1359442309	1183507657	1124819028
Phosphoenolpyruvic acid	Phosphoenolpyruvic acid	120075	124003	98140	110381	122927	164062	65016	94692	106236	114591	98631	88702	116187	143303	82020	108281	92323	94985	98698	76681	66877	111436	114206	113507	93561	92399	209453	104521	141115	71163	68358	85156	78439	137069	77166	85500	135554	158224	87494	85613	109673	102074	134301	113007	118634	117076	158973	105234	138183	98701	95566	127009	124034	120804	165216	145069	110738	123623	75762	88466	91007	123354	84778	80736	115945	126734	145012	187577	131663	112851	154116	73497	100683	124120	145349	97960	77230	167547	144820	132561	132061	132550	99549	125903	123169	105356	189634	88296	93602	101922	147250	117756	138995	127032
Pinene		90639	102356	90469	78930	88831	52954	68166	68460	62721	71771	68742	55221	64125	99563	79467	80250	85775	113297	105283	88586	74407	124950	68849	78929	76390	99283	80285	77866	109897	61572	65550	113270	92319	93734	86696	93065	102438	59228	65352	69001	79463	53291	74572	90470	64617	74516	42221	89671	68150	80030	82100	87824	99502	87895	118549	88425	120717	97365	70800	65258	87968	106493	83171	81684	74439	53991	73853	66446	84230	88716	81465	64632	79918	71074	57728	75636	62738	67480	72745	109126	79310	63904	71963	94178	96690	68585	103760	59503	116777	68024	78888	107422	96164	105887
Pipecolinic acid	Pipecolic acid	365604	445217	333985	381822	349468	623625	400270	356482	426305	340725	567996	457941	254292	402614	444980	376254	351206	429565	432671	481003	287159	341701	390962	369400	267236	404631	367912	517126	400895	369222	335195	828158	643289	422350	565488	616382	430504	927314	495263	339228	518629	435455	277339	367998	432196	410013	575254	315418	418967	249324	597876	553035	290549	328635	419518	420034	447176	306149	503637	630521	834098	466083	600344	522409	533325	296089	342335	390569	289664	368543	397007	600689	745398	272134	301466	712847	443274	404520	325488	399486	341720	287137	318122	784906	1119427	629909	437023	618135	688581	599786	245014	446640	329888	701798
