1-Methyl Adenosine	1-Methyladenosine	3012420	2968448	2903435	3068587	3260243	2518544	2221611	2665706	3035494	3102315	2914683	2277373	2513722	3003254	2875159	2783984	2665824	2997053	2813469	3169381	2612209	3332368	2185665	2528247	2601562	3564465	3146032	2928988	3327754	2599984	2236652	2823747	2707242	3176747	2956214	2838655	3704398	2368760	2632597	2678453	3194533	2904898	2584609	3143667	2919515	3016771	2410900	3214454	2648506	2948703	2892780	3259494	2986096	2781504	3549603	3427296	3435648	3060545	2391741	2406071	3211715	3537641	3211560	2600796	2760773	2311562	3205807	3483270	2514160	2929541	3445948	2735784	3145588	2901191	2934845	3059667	2313400	3434799	2931076	3492614	2960553	2520178	2804338	3292944	3583893	2522507	3584322	2543729	2997255	2727615	2613172	3354362	2995827	3175951
Tryptophan	Tryptophan	219281	265153	275587	207822	282985	229504	168459	170134	238351	188577	159832	146757	212103	249550	164355	210878	214590	222241	185499	174514	148818	235207	175831	228557	218534	205460	210746	198777	260525	181817	120004	170533	167588	217350	189852	169124	257315	216200	113261	131278	212366	204339	232794	218751	242074	199661	204381	250907	212732	205285	159741	202555	214666	246653	333155	178443	200525	212028	217743	127419	134935	215988	148398	146363	162466	241399	304591	343458	218961	295660	408766	120724	164482	191899	238204	141454	118940	252036	259420	367836	308362	239796	262743	223135	201266	153996	287133	149609	205527	148841	243226	408885	312720	272232
Tyrosine	Tyrosine	8396709	9529407	9375075	9440390	9597169	7017424	5876443	5734184	7725635	6767147	5726724	4394716	6478625	9951347	5929231	7352097	7728443	8226833	6693717	6937997	5658048	9659282	5904392	8608342	8090004	8334648	7417377	7086775	9132817	6507097	5202210	8621739	7741204	9062479	7223426	6868133	9779719	8693104	4955030	5289882	7348686	7431866	8205356	9775320	8985255	7204080	6786763	9264064	8691773	8364171	7157849	8690694	8949694	9493960	10736661	7867579	9381467	8940754	5976585	5643607	6972944	8470836	5420620	6670193	6032140	8379837	9897494	13130957	10381936	12111680	14820675	5184622	5864264	7477776	8318686	5851026	4935874	9717842	10028754	13595950	10496892	8448031	9751727	6894784	7600161	5565340	11753517	5381400	7387221	5084620	9151866	12825804	10576010	7568558
UMP	UMP	55561	42212	30072	40509	50781	36485	422043	148306	21625	33792	542140	10621	22211	38065	46397	38311	38596	40906	208389	311480	33493	43230	75827	64282	52745	35013	27080	83282	73497	27701	38712	666825	560247	30265	763551	621623	51191	49368	21950	21887	55669	58663	54803	55668	69312	39170	76374	56399	60616	56119	19060	30974	57948	55836	42082	30068	65069	23113	37561	663821	787927	38445	71876	624309	698679	44230	48613	41304	56292	63338	47362	590367	461353	56567	57397	524086	405942	48837	38235	42970	33281	19781	28479	49550	725051	536414	59405	79507	624220	710613	38888	52895	56552	93461
Uracil	Uracil	1325005	1001669	1581480	848253	1069867	189031	453856	419764	536682	662028	465246	359138	1222731	1222121	382624	778901	1094850	1058183	504242	453603	354535	1605988	414813	1881150	1836321	593885	534165	648447	2118616	294830	307132	545393	490122	1757880	459976	383922	1097243	153473	321381	311235	540097	1424003	1822149	1426871	2282685	1032270	105015	1936123	1876524	1774684	375182	545043	1734884	1860597	1877856	504004	888811	1288113	261548	348108	487820	938005	439403	376186	506938	1504960	2616586	2697063	1909913	2676382	2851933	418007	471230	2175974	1912313	740820	420894	2296462	1540233	2029744	777783	1039718	1773567	482944	523416	245030	2783391	292493	515380	282673	2145760	1740461	2153760	516031
Uridine	Uridine	9872726	14950842	8231356	17096407	15742919	27670699	6297070	9138657	15217272	13434872	7007278	9699732	5959786	9276507	9542619	8884365	6768703	8598747	11496740	9034522	8024120	5847594	11602361	3439814	2303796	20349136	17298650	9856773	3849141	14690183	9280762	7058278	7817722	6239318	5524626	7037113	16242831	20995214	12656280	12264175	23009903	4195049	1526627	6442628	2887259	7528137	14796147	4891103	2862374	3815508	13390437	15541416	4426902	2666752	6025169	16840481	17365721	7040953	9091014	7123066	7871302	13724236	8346853	5751858	6350266	4132611	5036086	2696887	1965332	3328031	3051193	6909304	7360184	2218986	3584725	7065445	7113434	5553338	9986228	7898011	9916181	6772030	4385636	8807243	7647634	4828904	2065665	14171164	7367806	4975894	2610348	8654497	3212874	9654135
Urocanic acid	Urocanic acid	1192399	1494534	4357392	530722	1042855	6120114	571595	465728	1200801	928621	1501659	1082107	877736	1137137	879012	624255	2938894	522223	516423	551519	602641	633757	1096259	1240172	483652	1158808	4673229	668979	549023	597462	527906	759146	601501	893934	31481369	483020	802344	1065395	932395	535596	1816421	756391	1414528	22827877	886565	805490	2346412	720217	2779965	2786175	670404	909717	3298380	1000016	752134	1496115	1090411	588634	675137	535231	619951	530449	1109382	1206753	1052907	762203	1298756	833050	1277945	1135628	93303324	1553427	737132	1151195	2173838	944610	826622	10728035	662281	1429111	2142792	868084	999285	1450342	452909	446186	1081024	827382	1102958	703219	784597	1289628	724912	1037067
Valine/5-Amino valeric acid		43413	59724	62929	56912	57884	48697	29459	26321	52194	39116	35823	21738	41893	53411	35190	44389	44555	49545	39443	39772	24368	56596	30087	56821	50315	43341	38684	37778	58130	30670	19428	44270	36499	65269	44578	35178	66271	59642	23758	22105	48765	48949	52723	59738	61488	45136	46280	55527	62343	48653	28607	41594	47935	63751	70248	45831	57875	63430	28596	26221	37597	61500	22570	30216	30925	63556	74245	78889	72714	76801	116144	26104	36383	56178	64687	32336	23172	78044	65257	88583	75210	44726	66280	38817	46180	31744	72466	32947	33975	33690	69637	117729	92935	46252
Valproic acid	Valproic acid	182573	171022	182435	193809	163939	83647	196167	187222	212610	208884	256469	178692	154290	230019	214488	162037	162514	149916	215832	262975	209644	178747	143878	94512	219151	243852	221946	256266	174920	215063	198841	189400	173795	252425	196898	211799	284993	176611	209245	159022	176431	208343	163434	254641	219758	227806	278975	199493	230903	210380	206888	193189	150491	188814	151206	218601	176812	175208	189279	127772	189311	212997	213464	189786	183554	185234	196451	192153	178896	214819	189722	196170	167587	233056	184546	171148	175164	192766	178679	152159	205104	181813	164002	206816	233417	181681	240854	180932	173942	190161	189758	190931	202986	264896
Xanthine	Xanthine	4719499	5334430	6584786	4488367	5281703	3011756	1699626	2139374	3694844	3904601	2183756	1795460	5635626	6049515	2404547	4632326	4581652	5411395	2686295	2453916	2097774	6629795	2055720	8059375	8064696	4133825	3330949	3645512	6268583	1930002	1566069	1715152	1816184	6832996	1417593	2107352	5944308	2592824	1549214	2524863	4863937	6184228	7547162	4705989	8512972	4208787	2083428	7441944	5615704	4945512	1721028	2581474	5326680	9015217	6789292	4231541	4715829	5501342	1990533	1361361	1674024	5410768	1931349	1417409	1923090	5182294	10822141	9879921	7822059	9823406	11766800	1641732	2205318	6457244	6928140	2299584	1898532	7445723	5538102	7987073	5188413	4610470	8281270	2405845	2285332	1667841	11395728	1735615	1729468	1327360	8383414	6652701	10030780	2660035
																																																																																															

</pre></body></html>
